base,rt,id,type,title,text,list_items,suggest_shared,earnable_in_base
dwl,rtdwl,they_arent_getting_away_with_this,binary,They Aren’t Getting Away With This,Win The Dunwich Legacy campaign as “Ashcan” Pete with Duke listed under “Sacrificed to Yog-Sothoth.”,,Y,
dwl,rtdwl,tabula_rasa,binary,Tabula Rasa,Win The Dunwich Legacy campaign with no [tablet] or [elder_thing] tokens in the chaos bag.,,Y,
dwl,rtdwl,dwl_line_in_the_sand,binary,Line in the Sand,Win The Dunwich Legacy campaign with at least three Ultimatums active.,,Y,
dwl,rtdwl,dunwich_expertise,binary,Dunwich Expertise,Win The Dunwich Legacy campaign on Expert difficulty.,,Y,
ptc,rtptc,fair_warning,binary,Fair Warning,Defeat the Royal Emissary three times during a single playthrough of “Curtain Call.”,,Y,
ptc,rtptc,first_steps,list,First Steps,Interview the following VIPs in “The Last King”:,Constance Dumaine | Jordan Perry | Ishimaru Haruko | Sebastien Moreau | Ashleigh Clarke,Y,
ptc,rtptc,crashing_the_party,binary,Crashing the Party,Defeat the [[Lunatic]] version of Dianne Devine in “The Last King.”,,Y,
ptc,rtptc,for_prying_eyes,binary,For Prying Eyes,Add the Hidden Library to the victory display in “Echoes of the Past.”,,Y,
ptc,rtptc,cuckoos_nest,binary,The Cuckoo's Nest,Resign with Daniel Chesterfield under an investigator’s control in “The Unspeakable Oath.”,,Y,
ptc,rtptc,take_a_look_at_this,binary,Take A Look At This!,Parley with the Host of Insanity in “The Unspeakable Oath.”,,N,
ptc,rtptc,path_of_death,binary,The Path of Death,Use your Clasp of Black Onyx to find a shortcut in “The Pallid Mask.”,,N,
ptc,rtptc,guessing_game,binary,Guessing Game,Advance to the final agenda of one agenda deck before advacing the first agenda of the other agenda deck in “Black Stars Rise.”,,Y,
ptc,rtptc,hastur_made_me_do_it,binary,Hastur Made Me Do It,Defeat Hastur in “Dim Carcosa” while a Possession treachery is in your hand.,,Y,
ptc,rtptc,say_my_name,binary,Say My Name,"After you have heeded Daniel’s warning, speak the name of HASTUR aloud seven or more times during a single scenario (or its setup).",,Y,
ptc,rtptc,get_back_here,binary,Get Back Here,Win The Path to Carcosa campaign having never ended a scenario with The Man in the Pallid Mask in play,,Y,
ptc,rtptc,path_is_false,binary,The Path is False,Win The Path to Carcosa campaign with 8 Doubt.,,Y,
ptc,rtptc,path_is_real,binary,The Path is Real,Win The Path to Carcosa campaign with 8 Conviction.,,Y,
ptc,rtptc,path_is_mine,binary,The Path is Mine,Win The Path to Carcosa campaign with less than 2 Doubt and Conviction in total.,,Y,
ptc,rtptc,ptc_line_in_the_sand,binary,Line in the Sand,Win The Path to Carcosa campaign with at least three Ultimatums active.,,Y,
ptc,rtptc,carcosa_expertise,binary,Carcosa Expertise,Win The Path to Carcosa campaign on Expert difficulty.,,Y,
tfa,rttfa,why_did_it_have_to_be_snakes,count,Why Did It Have to Be Snakes?,Defeat twenty [[Serpent]] enemies.,,Y,
tfa,rttfa,watch_them_unravel,binary,Watch Them Unravel,Complete all four act decks during a single playthrough of “Threads of Fate.”,,N,
tfa,rttfa,hope_for_humanity,binary,Hope for Humanity,Restore Ichtaca’s faith in humanity in “The Boundary Beyond.”,,Y,
tfa,rttfa,scenario_5_what,binary,Scenario 5-What?,"Skip “Heart of the Elders, Part 1.”",,Y,
tfa,rttfa,beyond_perfection,binary,Beyond Perfection:,Complete all eight tasks on act 2 of “The City of Archives” during a single playthrough.,,N,
tfa,rttfa,i_remember_everything,binary,I Remember Everything,Restore Alejandro’s memories in “The City of Archives.”,,Y,
tfa,rttfa,patricide,binary,Patricide,Defeat Yig in “The Depths of Yoth.”,,Y,
tfa,rttfa,hes_got_a_point,binary,He's Got a Point,Side with Alejandro in “Shattered Aeons.”,,Y,
tfa,rttfa,valusia_sounds_great,binary,Valusia Sounds Great,Side with Ichtaca in “Shattered Aeons.”,,Y,
tfa,rttfa,built_up_an_immunity,binary,I’ve Built Up An Immunity,Win The Forgotten Age campaign without ever becoming poisoned.,,Y,
tfa,rttfa,we_have_an_understanding,binary,We Have an Understanding,Win The Forgotten Age campaign without ever dealing any damage to the Harbinger of Valusia.,,Y,
tfa,rttfa,who_needs_any_of_this_junk,binary,Who Needs Any of This Junk?,Win The Forgotten Age campaign without purchasing any supplies.,,Y,
tfa,rttfa,dont_tread_on_me,binary,Don’t Tread on Me,Win The Forgotten Age campaign with no tally marks recorded under Yig’s Fury in your Campaign Log,,Y,
tfa,rttfa,bane_of_yig,binary,Bane of Yig,Win The Forgotten Age campaign with 25+ tally marks recorded under Yig’s Fury in your Campaign Log.,,Y,
tfa,rttfa,if_i_could_turn_back_time,binary,If I Could Turn Back Time,"Forge your own path, unlock Scenario IX, and win The Forgotten Age campaign.",,Y,
tfa,rttfa,yoth_expertise,binary,Yoth Expertise,Win The Forgotten Age campaign on Expert difficulty,,Y,
tcu,rttcu,who_you_gonna_call,count,Who You Gonna Call?,Defeat 13 [[Geist]] or [[Spectral]] enemies. Enemies who are not discarded or added to the victory display do not count.,,Y,
tcu,rttcu,savior_of_humanity,binary,Savior of Humanity,"Rescue every [[Silver Twilight]] enemy who appears in ""At Death's Doorstep.""",,Y,
tcu,rttcu,would_read_again,count,10/10 Would Read Again,"Using the Black Book, take a total of 10 horror with its ability throughout the campaign.",,Y,
tcu,rttcu,carl_shmarl,binary,Carl Shmarl,"Become part of the Silver Twilight Lodge's Inner Circle, then betray them in ""Union and Disillusion.""",,Y,
tcu,rttcu,threefold_rule,binary,The Threefold Rule,"Join forces with Erynn and turn on her coven in ""Union and Disillusion.""",,N,
tcu,rttcu,new_world_order,binary,New World Order,Help the Silver Twilight Lodge win The Circle Undone campaign.,,Y,
tcu,rttcu,immortality_sounds_nice,binary,Immortality Sounds Nice,Help Anette's Coven win The Circle Undone campaign.,,N,
tcu,rttcu,more_like_excursion,binary,More Like Excursion,"Complete ""In the Clutches of Chaos"" without a single incursion occurring.",,Y,
tcu,rttcu,member_these,list,'Member These?,Discover the following Mementos:,Mesmerizing Flute | Ritual Components | Scrap of Torn Shadow | Strange Incantation | Gilman's Journal | Keziah's Formulae | Worn Crucifix | Wisp of Spectral Mist | Corn Husk Doll | Bloody Tree Carvings,Y,
tcu,rttcu,case_closed,list,Case Closed,Save each of the following characters from a terrible fate:,Valentino Rivas | Gavriella Mizrah | Penny White | Jerome Davids,Y,
tcu,rttcu,music_of_the_outer_gods,binary,Music of the Outer Gods,Accept your fate and win The Circle Undone campaign by joining the Pipers of Azathoth.,,Y,
tcu,rttcu,weaver_of_shadow_and_mist,binary,Weaver of Shadow and Mist,Reject your fate and win The Circle Undone campaign by crafting a spell to contain Azathoth.,,Y,
tcu,rttcu,fine_print,binary,Fine Print,Win The Circle Undone campaign by signing your name in The Black Book of Azathoth.,,Y,
tcu,rttcu,speak_the_words_aloud,binary,duolA sdroW eht kaepS,Win The Circle Undone campaign by discovering and reversing an ancient incantation.,,N,
tcu,rttcu,circle_expertise,binary,Circle Expertise,Win The Circle Undone campaign on Expert difficulty.,,Y,
